ID,Recipe Name,Description,Active
1,Spaghetti Bolognese,A classic Italian pasta dish with a rich tomato and meat sauce.,No
2,Chicken Curry,A flavorful curry dish made with tender chicken pieces.,Yes
3,Beef Stroganoff,"Tender beef in a creamy mushroom sauce, served with rice.",No
4,Vegetable Stir Fry,Healthy stir-fried vegetables in a savory soy sauce.,Yes
5,Fish Tacos,Soft tortillas filled with seasoned fish and fresh toppings.,No
6,Margarita Pizza,"Thin crust pizza topped with fresh tomatoes, mozzarella, and basil.",Yes
7,Grilled Cheese Sandwich,Golden-brown toasted sandwich with melted cheese inside.,No
8,Caesar Salad,,Yes
9,Lamb Chops,Juicy lamb chops grilled to perfection with herbs.,No
10,Tom Yum Soup,Spicy and sour Thai soup with shrimp and mushrooms.,Yes
11,Pancakes,Fluffy pancakes served with syrup and fresh fruit.,No
12,Ratatouille,A vegetable medley cooked in a rich tomato sauce.,Yes
13,Fried Rice,"Fried rice with mixed vegetables, egg, and soy sauce.",No
14,Eggplant Parmesan,Breaded and baked eggplant slices topped with marinara and cheese.,Yes
15,Chicken Alfredo,Creamy pasta with chicken and parmesan cheese.,No
16,Beef Burrito,"A hearty burrito filled with beef, beans, and cheese.",Yes
17,Greek Salad,"Fresh salad with cucumber, tomatoes, feta, and olives.",No
18,Butter Chicken,Rich and creamy chicken cooked in a spiced tomato sauce.,Yes
19,Veggie Burger,Grilled veggie patty served on a bun with toppings.,No
20,Chocolate Cake,Moist chocolate cake topped with a ganache frosting.,Yes
